TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,PSAL,PSAL_QC,SSJT,SSJT_QC
2023-02-01 00:18:00,0,1.0,-21.8167,167.4,1.0,b'2424016037                      ',b'7JYD',7.3,34.31,2.0,29.3,0.0
2023-02-01 14:19:00,0,1.0,-22.35,166.5,1.0,b'2424583098                      ',b'7JYD',7.3,34.92,4.0,28.5,0.0
2023-02-01 16:17:00,0,1.0,-22.3667,166.9833,1.0,b'2424583099                      ',b'7JYD',7.3,34.97,4.0,27.5,0.0
2023-02-01 18:16:00,0,1.0,-22.2167,167.3833,1.0,b'2424583100                      ',b'7JYD',7.3,34.78,1.0,28.5,0.0
2023-02-01 20:17:00,0,1.0,-22.0667,167.8167,1.0,b'2424583101                      ',b'7JYD',7.3,34.76,1.0,28.6,0.0
2023-02-01 22:19:00,0,1.0,-21.9167,168.2667,1.0,b'2424583102                      ',b'7JYD',7.3,34.65,1.0,29.3,0.0
2023-02-02 00:18:00,0,1.0,-21.7667,168.6833,1.0,b'2424583103                      ',b'7JYD',7.3,34.64,1.0,29.5,0.0
2023-02-02 02:17:00,0,1.0,-21.6333,169.1167,1.0,b'2426213795                      ',b'7JYD',7.3,34.77,1.0,28.6,0.0
2023-02-02 04:20:00,0,1.0,-21.4833,169.5167,1.0,b'2426213796                      ',b'7JYD',7.3,34.79,1.0,29.2,0.0
2023-02-02 06:19:00,0,1.0,-21.35,169.9167,1.0,b'2426213797                      ',b'7JYD',7.3,34.73,4.0,28.8,0.0
2023-02-02 08:17:00,0,1.0,-21.2167,170.3167,1.0,b'2426213798                      ',b'7JYD',7.3,34.9,4.0,28.8,0.0
2023-02-02 10:16:00,0,1.0,-21.0333,170.7167,1.0,b'2426213799                      ',b'7JYD',7.3,34.84,1.0,29.4,0.0
2023-02-02 12:18:00,0,1.0,-20.85,171.1,1.0,b'2426213800                      ',b'7JYD',7.3,34.7,1.0,29.8,0.0
2023-02-02 14:18:00,0,1.0,-20.6667,171.4833,1.0,b'2426213801                      ',b'7JYD',7.3,34.69,1.0,29.8,0.0
2023-02-02 16:17:00,0,1.0,-20.4833,171.8667,1.0,b'2426213802                      ',b'7JYD',7.3,34.66,1.0,29.9,0.0
2023-02-02 18:19:00,0,1.0,-20.3,172.2333,1.0,b'2426213803                      ',b'7JYD',7.3,34.67,1.0,30.1,0.0
2023-02-02 20:16:00,0,1.0,-20.1333,172.5833,1.0,b'2426213804                      ',b'7JYD',7.3,34.6,1.0,30.0,0.0
2023-02-02 22:17:00,0,1.0,-19.9667,172.95,1.0,b'2426213805                      ',b'7JYD',7.3,34.69,1.0,29.9,0.0
2023-02-03 00:17:00,0,1.0,-19.8,173.3,1.0,b'2426213806                      ',b'7JYD',7.3,34.65,1.0,30.0,0.0
2023-02-03 02:18:00,0,1.0,-19.6333,173.6333,1.0,b'2431765402                      ',b'7JYD',7.3,34.68,1.0,30.1,0.0
2023-02-03 04:20:00,0,1.0,-19.5,173.95,1.0,b'2431765403                      ',b'7JYD',7.3,34.73,1.0,30.1,0.0
