TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC
2025-04-09 18:00:00,0,1.0,18.3,112.0,1.0,b'3390043898                      ',b'2BD3DVL',0.0,26.0,1.0
2025-04-10 00:00:00,0,1.0,17.3,111.5,1.0,b'3390194895                      ',b'2BD3DVL',0.0,27.0,1.0
2025-04-10 06:00:00,0,1.0,16.5,111.0,1.0,b'3390194896                      ',b'2BD3DVL',0.0,28.0,1.0
2025-04-10 12:00:00,0,1.0,15.6,110.9,1.0,b'3390352871                      ',b'2BD3DVL',0.0,28.0,1.0
2025-04-10 18:00:00,0,1.0,14.6,110.5,1.0,b'3390420324                      ',b'2BD3DVL',0.0,27.0,1.0
2025-04-11 06:00:00,0,1.0,12.8,110.0,1.0,b'3390610544                      ',b'2BD3DVL',0.0,28.0,1.0
2025-04-11 18:00:00,0,1.0,10.8,109.5,1.0,b'3390781217                      ',b'2BD3DVL',0.0,28.0,1.0
2025-04-12 06:00:00,0,1.0,9.5,109.2,1.0,b'3390987624                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-13 18:00:00,0,1.0,5.0,106.5,1.0,b'3391912234                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-14 12:00:00,0,1.0,3.0,105.0,1.0,b'3392263372                      ',b'2BD3DVL',0.0,30.0,1.0
2025-04-14 18:00:00,0,1.0,2.8,105.0,1.0,b'3392472488                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-16 12:00:00,0,1.0,4.0,99.5,1.0,b'3393187343                      ',b'2BD3DVL',0.0,31.0,1.0
2025-04-16 18:00:00,0,1.0,5.0,98.2,1.0,b'3393227083                      ',b'2BD3DVL',0.0,30.0,1.0
2025-04-17 12:00:00,0,1.0,5.0,93.7,1.0,b'3393556316                      ',b'2BD3DVL',0.0,30.0,1.0
2025-04-18 12:00:00,0,1.0,0.9,88.6,1.0,b'3393917661                      ',b'2BD3DVL',0.0,30.0,1.0
2025-04-18 18:00:00,0,1.0,0.0,87.2,1.0,b'3393945982                      ',b'2BD3DVL',0.0,30.0,1.0
2025-04-19 06:00:00,0,1.0,-2.0,84.9,1.0,b'3394159605                      ',b'2BD3DVL',0.0,30.0,1.0
2025-04-20 09:00:00,0,1.0,-6.7,78.9,1.0,b'3394625063                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-20 18:00:00,0,1.0,-8.3,76.9,1.0,b'3394733742                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-21 06:00:00,0,1.0,-10.3,74.2,1.0,b'3394979250                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-21 18:00:00,0,1.0,12.4,71.2,4.0,b'3395304432                      ',b'2BD3DVL',0.0,24.0,1.0
2025-04-22 12:00:00,0,1.0,-15.3,67.0,4.0,b'3395632824                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-22 18:00:00,0,1.0,-16.3,65.5,1.0,b'3395665372                      ',b'2BD3DVL',0.0,29.0,1.0
2025-04-24 00:00:00,0,1.0,-21.0,58.1,1.0,b'3396242225                      ',b'2BD3DVL',0.0,26.0,1.0
2025-04-25 12:00:00,0,1.0,-28.2,48.2,1.0,b'3396796508                      ',b'2BD3DVL',0.0,27.0,1.0
2025-04-26 12:00:00,0,1.0,-29.1,41.6,1.0,b'3397140632                      ',b'2BD3DVL',0.0,24.0,1.0
2025-04-28 00:00:00,0,1.0,-33.0,30.3,1.0,b'3397718612                      ',b'2BD3DVL',0.0,24.0,1.0
2025-04-28 12:00:00,0,1.0,-34.2,26.1,1.0,b'3397991504                      ',b'2BD3DVL',0.0,21.0,1.0
