
Country Name En,Unit Name,2023,2023 Flag,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Afghanistan,Tonnes - live weight,11660,E,11150,E,11107,E,9444,E,8629,E,7950,E,7000,E,6150,E,5450,E,4760,E,4110,E,3480,E,2850,E,2250,E,1650,E,1050,E,1050,E,450,E,450,E,450,E,450,E,450,E,450,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Tonnes - live weight,9327,A,8908,A,8641,A,9084,A,6300,A,6258,A,4430,A,4750,A,3495,A,4000,A,3700,A,3450,A,2345,A,2520,A,2317,A,2000,A,2092,A,2057,A,1473,A,1569,A,1473,A,860,A,286,A,307,A,310,A,124,A,97,A,323,A,340,A,395,E,389,E,397,A,859,A,4961,A,2604,A,3732,A,2368,A,2165,A,1208,A,1197,A,1162,E,699,E,455,E,339,E,260,E,193,E,164,E,123,E,85,E,45,E,3,E,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Tonnes - live weight,5258,E,5208,E,4779.287,A,5435.986,A,4835.467,A,7153.416,A,4467.314,A,1959.59,A,1332.29,A,2479.871,E,2192.754,E,2644.002,E,2245.770,E,1758.742,E,2163.232,E,2779.916,E,405,A,288,A,368,E,586,E,417,E,476,E,454,E,351,E,250,A,283,A,322,E,322,E,369,E,389,A,300,E,147,A,150,A,407,A,368,A,304,A,274,A,250,A,141,A,95,A,2,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
American Samoa,Tonnes - live weight,18,E,18,E,15,E,15,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,18,E,18,E,18,E,18,E,18,E,10,E,10,E,10,E,10,E,10,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Tonnes - live weight,10313,A,2336,A,2808,A,2062,A,1934,A,1792,A,1339,A,655,A,872,A,305,A,57,A,310,E,310,E,310,E,260,E,190,E,190,E,156,E,126,E,92,E,72,E,51,E,11,E,5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Tonnes - live weight,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,20,E,21,E,19,E,18,E,12,E,8,E,8,E,8,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Tonnes - live weight,5515.964,A,6022.03,A,3687.00,A,2084.50,A,2592.19,A,3205.31,A,3567.76,A,3673.485,A,3662.65,A,4002.710,A,3825.12,A,2958.42,A,3193.25,A,2654.35,A,2582.95,A,2700,A,2957,A,2528,A,2057,A,1848,A,1647,A,1457,A,1340,A,1784,A,1218,A,1040,E,1314,A,1322,A,1474,A,763,A,707,A,402,A,350,A,300,A,300,A,353,A,353,A,270,A,270,A,150,A,143,E,123,E,105,E,90,E,78,E,67,E,57,E,49,E,42,E,36,E,31,E,27,E,23,E,19,E,15,E,11,E,8,E,5,E,5,E,4,E,2,E,1,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Armenia,Tonnes - live weight,24800,E,24000,A,18930,E,18350,E,17560,E,17000,A,16690,A,16381,A,15130,A,13925,A,11700,A,8850,A,6300,E,5050,E,5190,E,5100,E,3650,E,1056,E,739,E,813,A,1064,A,1020,A,1331,A,893,A,889,A,437,A,670,A,650,A,1120,A,1570,A,2250,A,2565,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,Tonnes - live weight,1.5,E,1.5,E,1.5,E,1.5,E,1.5,E,1,E,0.5,E,0,A,0,A,0,A,0,A,,,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Tonnes - live weight,120268.918,A,125280.531,A,128960.759,A,102724.900,A,90929.907,A,96181.688,A,85335.483,A,91651.891,A,83134.90,A,73237.49,A,80061.471,A,81832.82,A,76662.49,A,75678.850,A,71672.163,A,60804.08,A,57936.12,A,51649.48,A,44852,A,45083,A,39927.4,A,38908.037,A,35883,A,32083,A,29601,A,24570,A,26543,A,25323,A,22395,A,19129,A,18359,A,16422,A,14327,A,12401,A,13685,A,13080,A,9660,A,9083,A,9534,A,8785,A,9056,A,8841,A,9185,A,8994,A,8702,A,10236,A,11126,A,10439,A,9204,A,10484,A,9200,A,10400,A,9800,A,7021,A,7500,A,7500,A,7300,A,6800,A,6600,A,5800,A,5900,A,5800,A,6500,A,5700,A,5800,A,4800,A,4800,A,4000,A,4700,A,4400,A,3600,A,3100,A,3000,A,3000,A
Austria,Tonnes - live weight,5170.229,A,4718.718,A,4920.413,A,4541.911,A,4255.025,A,3991.6,A,3861.9,A,3483.4,A,3503.4,A,3390.3,A,3237,A,3125.5,A,2904.3,A,2167,A,2141,A,2087,A,2539,A,2503,A,2420,A,2267,A,2233,A,2333,A,2393,A,2847,A,3067,A,2909,A,3018,A,2949,A,2918,A,3103,A,3140,A,3140,A,3135,A,3126,A,4450,A,4500,A,4000,A,4060,A,4100,A,4000,A,3600,A,3100,A,3200,A,3200,A,3400,A,2900,A,1600,A,1390,A,1200,A,1220,A,1300,A,1080,A,960,A,870,A,800,A,740,A,790,A,750,A,730,A,680,A,600,A,670,A,660,A,650,A,650,A,530,E,510,E,480,E,450,E,430,E,410,E,390,E,370,E,350,E
Azerbaijan,Tonnes - live weight,3447.8,E,3348.35,E,3384.1,E,3462.75,E,3607.78,E,3489.35,E,3809.6,E,3733.55,E,3063.49,E,2746.65,E,2813.9,E,3185.595,E,2789.35,E,3159.2,E,3144.1,E,1919.2,E,1737.5,E,1438.45,E,1344.95,E,1109.6,E,966.75,E,611.6,E,480.6,E,149.25,E,216,A,211,A,364,A,419,A,516,A,1038,A,1201,A,1690,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,Tonnes - live weight,1,E,1,E,1,E,6,E,6,E,6.84,A,6,E,9,E,9.33,A,9.35,A,1,E,1,E,1,E,1,E,17,E,20,A,30,E,52,E,85,E,30,E,52,A,25,E,13,A,2,E,1,E,1,E,1,E,1,A,24,A,4,A,8,A,10,A,6,A,49,A,69,A,51,A,37,E,42,E,42,A,10,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Bahrain,Tonnes - live weight,61,E,56,E,51,E,46,E,36,E,21,E,21,E,14.212,A,6,E,5.710,A,0,A,1.725,A,3.424,A,3.187,A,2,A,2,A,1,A,2,A,3,A,8,A,4,A,3,A,0,A,12,A,3,A,1,A,0,A,3,A,4,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
Bangladesh,Tonnes - live weight,2852572,A,2731563,A,2639185,A,2584256,A,2488800,A,2405516,A,2333402,A,2203554,A,2060408,A,1956925,A,1859808,A,1726066.0,A,1523759,A,1308515,A,1064285,A,1005542,A,945812,A,892049,A,882091,A,914752,A,856956,A,786604,A,712640,A,657120,A,593202,A,574812,A,485864,A,379087,A,317073,A,264190,A,237743,A,226863,A,210993,A,192592,A,183505,A,175925,A,166100,A,144723,A,123811,A,117025,A,107000,E,101630,E,96780,E,91030,A,87360,E,82760,E,77230,A,77063,E,73340,A,70970,A,70525,E,68508,E,68080,A,64716,E,62927,E,59460,A,59519,E,57897,E,58030,A,54824,E,53362,E,51944,E,50569,E,49237,E,47947,E,46688,E,45469,E,44280,E,43130,E,42018,E,40932,E,39875,E,38853,E,37855,E
Barbados,Tonnes - live weight,5.5,E,5.5,E,10.5,E,25.5,E,25.5,E,25.5,E,25.5,E,25.5,E,20.5,E,20.5,E,14.5,E,10.5,E,10.5,E,2.0,E,2.0,E,2.0,E,2.0,E,2.0,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Tonnes - live weight,7438.7,A,7164.40,A,8504.9,A,9266.33,A,9590.7,A,11580.9,A,10353.5,A,11199,A,9130.9,A,10658,A,13548,A,15499,A,16293,A,16265,A,15659.0,A,14636,A,14091,A,8406,A,5648,A,4150,A,5393,A,6523,A,4666,A,6716,A,4824,A,4727,A,4322,A,6038,A,5463,A,6934,A,7018,A,8415,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Tonnes - live weight,261,A,243,A,223,A,209,A,86,A,111,A,75,A,44,A,82,E,214,A,212,A,277,E,101,A,539,E,576,E,126,E,128,E,128,E,414,E,739,E,1261,E,1834,A,1830,A,1871,A,1597,A,846,A,846,A,946,A,846,A,846,A,846,A,846,A,846,A,675,A,735,A,700,A,600,A,530,A,440,A,310,A,255,E,203,E,147,E,90,E,32,E,20,E,12,E,7,E,4,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Tonnes - live weight,880,E,730,E,609,E,524,E,579,E,576,E,565,E,1151,E,4206,E,7214.96,A,7160,A,5883.2,A,5102,A,7410.7,A,5725,A,4528,A,3172,A,7624,A,11078,A,11426,A,10160,A,4400,A,4460,A,3630,A,3163,A,1642,A,1397,A,1004,A,950,A,656,A,602,E,301,E,158,A,99,A,542,A,0,A,0,A,23,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Tonnes - live weight,3130,E,3050,E,2750,E,3136.908,A,5892.447,A,5264.137,A,4649.66,A,4327.00,A,4579.66,A,1545,A,787,A,620,A,520,E,484,A,428,A,333,E,298,E,415,A,350,A,7,A,7,E,7,A,,,,,,,,,,,,,,,,,,,,,,,,,,,80,A,14,A,15,A,11,A,15,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Tonnes - live weight,43.00,A,95,E,193,A,181.0,A,209.27,A,223.62,A,222,A,185,E,149,A,139.00,A,69.80,A,78.34,A,75,E,46,E,46,E,46,E,40,A,40,A,40,A,40,A,30,A,30,A,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,35,E,35,E,31,A,12,A,15,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),Tonnes - live weight,29050,E,21483,A,18902,E,15542,E,11734,A,9177,E,6492,E,4277,E,4239.4,E,1822,A,1448,A,1327,A,1133,A,938,A,847,A,693,A,585,A,455,E,430,A,450,A,375,A,418,A,320,A,405,A,398,A,385,A,387,A,380,A,616,A,617,A,649,A,266,A,200,A,515,A,348,A,95,A,45,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,0.5,E,0.5,E,0.2,E,0.2,E,0,E,0,A,0,A,0,A,0,A,0,A,0,A,,,0.7,E,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Tonnes - live weight,4065.6,A,3959.9,A,3858.6,A,3815.8,A,3997.4,A,3678.8,A,3800.4,A,4603.6,A,4490.6,A,3397,A,2923.5,A,3638.3,A,4970.20,A,7620,E,7620,E,7589,E,7442,E,7621,A,7070,A,6394,A,6635,A,4685,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Tonnes - live weight,166,E,171,E,163,E,146,A,35,E,25,E,20,E,15,A,20,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Tonnes - live weight,793095.871,A,738981,A,650672.227,A,630900.2,A,600700.090,A,581737.705,A,565296.448,A,543082.013,A,578372.925,A,564221.573,A,477634.465,A,480880,A,436084,A,411777,A,365127,A,331553,A,289048,A,271697,A,257784,A,269699,A,273268,A,247678,A,205568,A,172450,A,140657,A,103915,A,87676,A,77690,E,46202,A,30915,E,30390,E,29820,A,23390,E,20490,E,18170,E,15559,E,13140,E,10990,A,10873,A,10700,A,9168,E,7586,E,5794,E,3737,E,1687,E,1132,E,780,E,433,E,286,E,158,E,93,E,50,E,27,E,19,E,10,E,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
British Virgin Islands,Tonnes - live weight,1,E,1,E,1,E,1,E,1,E,1,E,1,E,0.5,E,0.5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Tonnes - live weight,1690.550,A,5018.305,A,4767.922,A,3500.047,A,933.195,A,1245.987,A,1632,E,947.63,A,983.14,A,711.07,A,560.85,A,550,E,530,E,499.98,E,433,E,473,A,622,A,475,A,454,A,709,A,160,A,157,A,99,A,113,A,194,A,172,A,157,A,119,A,103,A,72,A,36,A,17,A,1,A,6,E,2,A,2,E,2,A,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Tonnes - live weight,9928.228,A,9005.957,A,12973.568,A,13003.603,A,14051.485,A,13770.455,A,13708.627,A,13128.734,A,10873.372,A,11171.795,A,12151.65,A,5975.06,A,5527.175,A,7920.617,A,6722.538,A,5157,A,4032,A,3257,A,3145,A,2489,A,4465,A,2308,A,2938,A,3654,A,7780,A,4252,A,5437,A,4727,E,4615,E,6100,E,7897,A,8132,A,7798,A,7849,A,11615,A,12141,A,12647,A,12138,A,10560,A,14571,A,12919,A,14636,A,12720,A,11500,A,10042,A,7767,A,8134,A,6250,A,6188,A,5800,A,4900,A,4600,A,5300,A,5600,A,5800,A,5900,A,6800,A,4400,A,5100,A,4100,A,800,A,1000,A,900,A,900,A,500,A,500,A,500,A,550,A,700,A,800,A,400,A,300,A,300,A,300,A
Burkina Faso,Tonnes - live weight,1187,A,894,A,878,A,701,A,600,A,453,A,417,A,336,A,236,A,236,A,240,A,302,A,300,A,280,E,275,A,475,A,348,A,250,A,65,E,5,E,5,A,5,A,5,A,5,A,25,E,40,E,45,A,30,A,0,N,0,N,0,N,5,E,5,E,6,A,6,A,7,A,26,E,30,E,33,E,74,A,114,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Tonnes - live weight,615,E,540,E,540,E,490,E,495,E,445,E,440,E,380,E,366,E,225,E,205,E,160.4,A,61.7,A,17.3,A,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,E,50,A,30,E,25,E,24,A,25,A,21,A,2,A,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Tonnes - live weight,35,A,35,A,28,A,22,A,5,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Tonnes - live weight,314000,E,330600,E,348350,E,400400.3,E,307408,E,254050,E,207500,E,172500,E,145000,E,120055,E,90000,E,74000,E,72000,E,60000,E,50000,E,40000,E,35260,E,41010,E,44000,E,37515,E,26300,E,18250,E,17500,E,14430,E,15000,E,14100,E,11800,E,9600,E,9511,E,8200,E,7900,E,8550,E,6700,E,6400,E,5538,E,4600,E,2500,E,2200,E,3000,E,1610,E,934,E,464,E,240,E,106,E,53,E,25,E,11,E,4,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Tonnes - live weight,12230,E,8224,E,8192,E,6817,E,9078,E,5214,E,5000,E,4395.0,E,1955,E,1575,E,1195,E,840,A,571,A,570,E,546,E,546,E,546,E,435,E,402,A,395,E,385,A,330,A,150,E,50,A,67,E,67,A,67,A,58,E,57,E,50,E,50,A,57,E,74,E,106,E,138,E,167,A,137,A,124,A,130,A,282,A,120,E,89,E,57,E,40,E,22,E,11,E,5,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Tonnes - live weight,146183,A,167770,A,188418,A,167138,A,187456,A,190383,A,191311,A,201004,A,187462,A,139732,A,168015,A,184910,A,169706,A,162341,A,155928,A,155549,A,152486,A,171629,A,154587,A,145018,A,167798,A,172046,A,153046,A,127665,A,112916,A,91046,A,81676,A,72376,A,65207,A,55430,A,52442,A,45386,A,48068,A,41216,A,32451,A,23622,A,16890,A,12678,A,8798,A,7720,A,4289,A,3421,A,4074,A,3566,A,3458,A,4038,A,3897,A,3943,A,4129,A,4583,A,5333,A,4561,A,3893,A,3591,A,3405,E,3394,E,3275,E,3258,E,3242,E,3230,E,3215,E,3100,E,2990,E,2975,E,2970,E,2960,E,2750,E,2740,E,2640,E,2830,E,2720,E,2710,E,2710,E,2700,E
Cayman Islands,Tonnes - live weight,90,E,88,E,85,E,82,E,79,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,10,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Tonnes - live weight,390,E,350,E,320,E,279,E,239,E,204,E,190,E,195,E,195,E,195,E,195,E,182,E,170,E,170,E,140,E,140,E,140,E,140,E,125,E,125,E,125,E,125,E,125,E,120,E,117,A,80,A,80,A,150,E,210,E,255,E,301,E,338,A,105,E,105,E,82,E,79,A,88,A,193,A,288,A,309,A,128,E,111,E,94,E,80,E,64,E,47,E,30,E,15,E,5,E,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Tonnes - live weight,125,E,120,E,110,E,105,E,105,E,105,E,105,E,94,A,154,A,60,E,60,E,30,E,30,E,30,E,30,E,30,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Tonnes - live weight,1502919,A,1524149,A,1443520,A,1505486,A,1407289,A,1287232.58,A,1219747.097,A,1050117,A,1057742,A,1227359,A,1045718,A,1075547,A,969539,A,713241,E,881084,A,870845,E,806166,E,832329,E,739368,E,696157,E,607338,E,617303,A,631634,A,425058,A,305494,A,361430,A,375113,A,323115,A,206266,A,183747,A,135090,A,116281,A,105258,A,70464,A,51510,A,32349,A,13936,A,9941,A,7497,A,8611,A,1972,A,5316,A,2789,E,2088,E,1514,E,1093,E,818,E,736,E,543,E,443,E,370,E,258,E,212,E,183,E,201,E,183,E,144,E,230,E,120,E,110,E,100,E,90,E,80,E,80,E,70,E,70,E,70,E,60,E,50,E,50,E,50,E,40,E,40,E,40,E
China,Tonnes - live weight,78276940.600,A,75434999.000,A,72805297.000,A,70483538.480,A,68423859.000,A,66135059.342,A,64358480.813,A,62318377.873,A,59368941.586,E,57320503.727,E,55029057.764,E,52082585.663,E,49147606.101,E,47789756.781,E,46062875.713,E,44072886.736,A,42530160.303,A,40911091.487,A,38943267,E,37172411,E,34891716,E,33160273,E,31102502,E,29749708,E,28000956,E,25671893,E,23747399,E,23465787,A,21152498,A,18213586,A,15221669,A,12185159,A,9695110,A,8392965,A,8101298,A,7376299,A,6325967,A,5606227,A,5026016,A,4271240,A,3657489,A,3258008,A,3033775,A,3105342,A,2901626,A,2987334,A,2788044,E,2106125,E,2157727,E,1975622,E,1823366,E,1987611,E,1790968,E,1480670,E,1513849,E,1306208,E,1315911,E,1320775,E,1159540,E,1017083,E,856931,E,741121,E,777762,E,958506,E,898300,E,688567,E,704496,E,407732,E,430267,E,367849,E,252930,E,196444,E,147193,E,75961,E
"China, Hong Kong SAR",Tonnes - live weight,2059.81,A,3361.20,A,4008.87,A,3834.7,A,3787.1,A,4133,A,4172,A,4258,A,3894,A,3897,A,3764,A,4093,A,3438,A,4338,A,4819,A,4754,A,4514,A,4125,A,4130,A,4615,A,4857,A,4302,A,5627,A,4988,A,6052,A,6439,A,8310,A,8418,A,8571,A,8966,A,9299,A,9333,A,10624,A,10256,A,9529,A,10778,A,10436,A,9121,A,7901,A,8356,A,8540,A,9287,A,7913,A,7887,A,7383,A,6816,A,5101,A,6086,A,5239,A,4287,A,4010,A,3619,A,3287,A,3113,A,2140,A,1852,A,1169,A,1138,A,1279,A,1390,E,700,E,690,E,665,E,600,E,565,E,790,E,460,E,330,E,500,E,765,A,660,A,605,A,570,A,550,A
Colombia,Tonnes - live weight,202960,E,204941.99,A,192521.003,A,179350.99,A,171025.445,A,132756.22,A,118485,E,106685,E,95857,A,92002,E,89398,E,89654,A,83681,A,80367,A,80623,E,68200,E,66565,E,70132,E,61000,E,60072,A,60895,A,57160,E,57660,E,61786,A,52947,A,45933,A,43710,A,29990,A,36630,A,25652,A,23971,A,23987,A,12267,A,10455,A,5673,A,3314,A,1618,A,1171,A,921,A,775,A,535,E,400,E,300,E,224,E,165,E,123,E,91,E,66,E,48,E,31,E,18,E,13,E,4,E,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Tonnes - live weight,1657,A,976.6,A,911,A,900,A,731,A,640,E,692,E,643,E,579,E,520,E,465,E,405,E,335,E,285,E,243,E,215,E,25,A,21,A,80,A,72,A,69,A,68,A,64,A,66,A,190,A,140,E,99,A,106,A,139,A,121,A,234,A,191,A,243,A,240,A,243,A,177,A,121,A,91,A,61,A,47,A,48,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
