
Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag
Afghanistan,Tonnes - live weight,11150,E,11107,E,9444,E,8629,E,7950,E
Albania,Tonnes - live weight,8812,A,8641,A,9084,A,6300,A,6258,A
Algeria,Tonnes - live weight,5208,E,4779.287,A,5435.986,A,4835.467,A,5108.416,A
American Samoa,Tonnes - live weight,18,E,15,E,15,E,20,E,20,E
Angola,Tonnes - live weight,2336,A,2808,A,2062,A,1934,A,1792,A
Antigua and Barbuda,Tonnes - live weight,20,E,20,E,20,E,20,E,20,E
Argentina,Tonnes - live weight,6022.03,A,3687.00,A,2084.50,A,2592.19,A,3205.31,A
Armenia,Tonnes - live weight,24000,A,18930,E,18350,E,17560,E,17000,A
Aruba,Tonnes - live weight,1.5,E,1.5,E,1.5,E,1.5,E,1,E
Australia,Tonnes - live weight,125230.531,A,128910.759,A,102674.900,A,90879.907,A,96131.687,A
Austria,Tonnes - live weight,4718.718,A,4920.413,A,4541.911,A,4255.025,A,3991.6,A
Azerbaijan,Tonnes - live weight,466,A,507,A,533,A,531.4,A,478,A
Bahamas,Tonnes - live weight,1,E,1,E,6,E,6,E,6.84,A
Bahrain,Tonnes - live weight,56,E,51,E,46,E,36,E,21,E
Bangladesh,Tonnes - live weight,2731070,A,2638745,A,2583866,A,2488600,A,2405416,A
Barbados,Tonnes - live weight,5.5,E,20.5,E,25.5,E,25.5,E,25.5,E
Belarus,Tonnes - live weight,7164.40,A,8504.9,A,9266.33,A,9590.7,A,11580.9,A
Belgium,Tonnes - live weight,243,A,223,A,209,A,86,A,111,A
Belize,Tonnes - live weight,1130,E,609,E,559,E,579,E,576,E
Benin,Tonnes - live weight,4550,E,4150,E,3136.908,A,5892.447,A,5264.137,A
Bhutan,Tonnes - live weight,190.879,E,193,A,181.0,A,209.27,A,223.62,A
Bolivia (Plurinational State of),Tonnes - live weight,21483,A,18902,E,15542,E,11734,A,9177,E
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,0.5,E,0.2,E,0.2,E,0,E,0,A
Bosnia and Herzegovina,Tonnes - live weight,3959.9,A,3858.6,A,3815.8,A,3997.4,A,3678.8,A
Botswana,Tonnes - live weight,171,E,163,E,146,A,35,E,25,E
Brazil,Tonnes - live weight,738881,A,650572.227,A,630800.2,A,600600.090,A,581637.705,A
British Virgin Islands,Tonnes - live weight,1,E,1,E,1,E,1,E,1,E
Brunei Darussalam,Tonnes - live weight,5020,E,4767.922,A,3500.047,A,933.195,A,1245.987,A
Bulgaria,Tonnes - live weight,9510.78,A,15173.62,A,15051.813,A,16500.821,A,15913.997,A
Burkina Faso,Tonnes - live weight,894,A,878,A,701,A,600,A,453,A
Burundi,Tonnes - live weight,540,E,540,E,490,E,495,E,445,E
Cabo Verde,Tonnes - live weight,35,A,28,A,22,A,5,A,,
Cambodia,Tonnes - live weight,330600,E,348350,E,400400,E,307408,E,254050,E
Cameroon,Tonnes - live weight,10118,E,9808,E,8508,E,6908,E,5508,E
Canada,Tonnes - live weight,166463,A,190232,A,169800,A,187248,A,191373,A
Cayman Islands,Tonnes - live weight,88,E,85,E,82,E,79,E,10,E
Central African Republic,Tonnes - live weight,215,E,210,E,204,E,204,E,204,E
Chad,Tonnes - live weight,120,E,110,E,105,E,105,E,105,E
Channel Islands,Tonnes - live weight,1190,E,1145,E,1107.372,A,1378.199,A,1466.6,A
Chile,Tonnes - live weight,1524149,A,1443520,A,1505486,A,1407289,A,1287232.58,A
China,Tonnes - live weight,75388639.000,A,72805297.000,A,70483538.480,A,68423859.000,A,66135059.342,A
"China, Hong Kong SAR",Tonnes - live weight,3361.20,A,4008.87,A,3834.7,A,3787.1,A,4133,A
Colombia,Tonnes - live weight,204941.99,A,192521.003,A,179350.99,A,171025.445,A,132756.22,A
Congo,Tonnes - live weight,976.6,A,911,A,900,A,731,A,640,E
Cook Islands,Tonnes - live weight,8.5,E,8.5,E,8.5,E,8.5,E,8.5,E
Costa Rica,Tonnes - live weight,16772.41,A,17309.40,A,16268.95,A,22046,E,21955,E
Côte d'Ivoire,Tonnes - live weight,6200,E,5720,E,5420,E,5020,E,4700,E
Croatia,Tonnes - live weight,27156.05,A,27010.33,A,21718.27,A,20442.966,A,19680.308,A
Cuba,Tonnes - live weight,15389.4,A,22664.6,A,25910,A,26922.2,A,28628,A
Curaçao,Tonnes - live weight,,,,,,,,,0.5,E
Cyprus,Tonnes - live weight,7593.9,A,7862.26,A,7342.6,A,8079.13,A,7347.04,A
Czechia,Tonnes - live weight,19259,A,20991,A,20401,A,20986,A,21751,A
Czechoslovakia,Tonnes - live weight,,,,,,,,,,
Democratic People's Republic of Korea,Tonnes - live weight,680700,E,680560,E,680300,E,679560,E,679060,E
Democratic Republic of the Congo,Tonnes - live weight,5295,E,5095,E,4690,E,4290,E,3880,E
Denmark,Tonnes - live weight,37921.2,A,40594.2,A,42629,A,40221.49,A,36453,E
Dominica,Tonnes - live weight,2.5,E,1.5,E,0.1,E,0,E,0,E
Dominican Republic,Tonnes - live weight,3750,E,3750,E,3430,E,3165,E,3009,E
Ecuador,Tonnes - live weight,1123048,E,904136.29,A,774588.55,A,695850,A,581450,E
Egypt,Tonnes - live weight,1552430,A,1576189.4,A,1591896,A,1641949,A,1594231,A
El Salvador,Tonnes - live weight,12919,E,12748.852,A,8378,A,9944.05,A,10913.22,A
Equatorial Guinea,Tonnes - live weight,15,E,15,E,15,E,15,E,15,E
Eritrea,Tonnes - live weight,4,E,4,E,4,E,4,E,3,E
Estonia,Tonnes - live weight,800.819,A,849.460,A,1090.150,A,1061.971,A,943.661,A
Eswatini,Tonnes - live weight,100,E,100,E,100,E,100,E,100,E
