TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,TEMP,TEMP_QC,PSAL,PSAL_QC,HCDT,HCDT_QC,HCSP,HCSP_QC
2023-02-12 12:57:00,0,1.0,37.01667,142.58333,1.0,b'2435982653                      ',b'JPBN',4.5,17.8,1.0,34.65,1.0,,,,
2023-02-12 13:05:00,0,1.0,37.05,142.61667,1.0,b'2435982655                      ',b'JPBN',4.5,17.7,1.0,34.67,1.0,,,,
2023-02-12 14:13:00,0,1.0,37.3,142.78333,1.0,b'2435982659                      ',b'JPBN',4.5,18.0,1.0,34.63,1.0,,,,
2023-02-12 15:31:00,0,1.0,37.56667,142.96667,1.0,b'2435982648                      ',b'JPBN',4.5,18.2,2.0,34.61,1.0,,,,
2023-02-12 16:47:00,0,1.0,37.85,143.16667,1.0,b'2435982654                      ',b'JPBN',4.5,18.9,2.0,34.61,1.0,,,,
2023-02-12 17:15:00,0,1.0,37.95,143.23334,1.0,b'2435982651                      ',b'JPBN',4.5,18.6,2.0,34.63,1.0,,,,
2023-02-12 18:02:00,0,1.0,38.11667,143.36667,1.0,b'2435982652                      ',b'JPBN',4.5,8.8,1.0,33.94,1.0,,,,
2023-02-12 19:21:00,0,1.0,38.38333,143.55,1.0,b'2435982657                      ',b'JPBN',4.5,13.2,1.0,34.39,1.0,,,,
2023-02-12 20:41:00,0,1.0,38.66667,143.75,1.0,b'2435982649                      ',b'JPBN',4.5,12.4,1.0,34.29,1.0,,,,
2023-02-12 21:59:00,0,1.0,38.93333,143.95,1.0,b'2435982656                      ',b'JPBN',4.5,10.4,1.0,34.1,1.0,,,,
2023-02-12 22:20:00,0,1.0,39.01667,144.0,1.0,b'2435982650                      ',b'JPBN',4.5,10.1,1.0,34.02,1.0,,,,
2023-02-12 23:19:00,0,1.0,39.21667,144.13333,1.0,b'2435982658                      ',b'JPBN',4.5,9.8,1.0,34.11,1.0,,,,
2023-02-13 00:00:00,0,1.0,39.2333,144.1833,1.0,b'2436319603                      ',b'JPBN',4.5,9.4,1.0,34.06,1.0,,,,
2023-02-13 11:52:00,0,1.0,39.15,143.85,1.0,b'2436319604                      ',b'JPBN',4.5,8.4,1.0,33.93,1.0,,,,
2023-02-13 12:20:00,0,1.0,39.1167,143.7,1.0,b'2436319605                      ',b'JPBN',4.5,12.7,1.0,34.43,1.0,230.0,1.0,1.029,1.0
2023-02-13 12:52:00,0,1.0,39.0833,143.5333,1.0,b'2436319606                      ',b'JPBN',4.5,12.9,1.0,34.44,1.0,,,,
2023-02-13 13:55:00,0,1.0,39.0167,143.2,1.0,b'2436319607                      ',b'JPBN',4.5,13.1,1.0,34.46,1.0,,,,
2023-02-13 14:30:00,0,1.0,38.9833,143.0167,1.0,b'2436319608                      ',b'JPBN',4.5,12.6,1.0,34.39,1.0,330.0,1.0,0.514,1.0
2023-02-13 15:00:00,0,1.0,38.9667,142.8667,1.0,b'2436319609                      ',b'JPBN',4.5,9.8,1.0,34.11,1.0,,,,
2023-02-13 16:07:00,0,1.0,38.9,142.5333,1.0,b'2436319610                      ',b'JPBN',4.5,8.6,1.0,33.91,1.0,,,,
2023-02-13 16:50:00,0,1.0,38.8667,142.3167,1.0,b'2436319611                      ',b'JPBN',4.5,8.8,1.0,33.98,1.0,170.0,1.0,0.72,1.0
2023-02-13 17:15:00,0,1.0,38.8333,142.2,1.0,b'2436319612                      ',b'JPBN',4.5,9.0,1.0,34.0,1.0,,,,
2023-02-13 21:26:00,0,1.0,38.75,141.8833,1.0,b'2436319613                      ',b'JPBN',4.5,8.0,1.0,33.86,1.0,,,,
2023-02-14 00:00:00,0,1.0,38.7167,141.6667,1.0,b'2436686507                      ',b'JPBN',4.5,9.6,1.0,34.01,1.0,,,,
2023-02-15 00:00:00,0,1.0,38.75,141.6667,1.0,b'2437056855                      ',b'JPBN',4.5,9.4,1.0,34.01,1.0,,,,
2023-02-15 06:48:00,0,1.0,38.9833,141.9,1.0,b'2437056856                      ',b'JPBN',4.5,7.8,1.0,33.84,1.0,,,,
2023-02-15 07:00:00,0,1.0,39.0167,141.9333,1.0,b'2437056857                      ',b'JPBN',4.5,7.7,1.0,33.83,1.0,340.0,1.0,0.103,1.0
2023-02-15 08:26:00,0,1.0,39.2833,142.05,1.0,b'2437056858                      ',b'JPBN',4.5,7.6,1.0,33.78,1.0,,,,
2023-02-15 09:58:00,0,1.0,39.6167,142.1167,1.0,b'2437056859                      ',b'JPBN',4.5,7.6,1.0,33.72,1.0,,,,
