TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,PSAL,PSAL_QC,SSJT,SSJT_QC
2023-02-01 00:02:00,0,1.0,-17.1833,-150.0667,1.0,b'2424015996                      ',b'7KAC',8.0,36.01,1.0,29.4,0.0
2023-02-01 02:02:00,0,1.0,-16.95,-150.4167,1.0,b'2424583050                      ',b'7KAC',8.0,35.95,1.0,29.4,0.0
2023-02-01 04:02:00,0,1.0,-16.7,-150.7667,1.0,b'2424583051                      ',b'7KAC',8.0,36.02,1.0,29.4,0.0
2023-02-01 06:02:00,0,1.0,-16.5,-151.1,1.0,b'2424583052                      ',b'7KAC',8.0,35.98,1.0,29.4,0.0
2023-02-01 08:02:00,0,1.0,-16.3167,-151.45,1.0,b'2424583053                      ',b'7KAC',8.0,35.98,1.0,29.2,0.0
2023-02-01 10:02:00,0,1.0,-16.1333,-151.8,1.0,b'2424583054                      ',b'7KAC',8.0,35.92,1.0,29.1,0.0
2023-02-01 12:04:00,0,1.0,-15.95,-152.1667,1.0,b'2424583055                      ',b'7KAC',8.0,35.88,1.0,29.2,0.0
2023-02-01 14:03:00,0,1.0,-15.7833,-152.5,1.0,b'2424583056                      ',b'7KAC',8.0,35.87,1.0,29.2,0.0
2023-02-01 16:03:00,0,1.0,-15.6,-152.85,1.0,b'2424583057                      ',b'7KAC',8.0,35.92,1.0,29.1,0.0
2023-02-01 18:02:00,0,1.0,-15.4333,-153.1833,1.0,b'2424583058                      ',b'7KAC',8.0,35.91,1.0,29.2,0.0
2023-02-01 20:02:00,0,1.0,-15.3167,-153.5167,1.0,b'2424583059                      ',b'7KAC',8.0,35.83,1.0,29.2,0.0
2023-02-01 22:01:00,0,1.0,-15.1167,-153.85,1.0,b'2424583060                      ',b'7KAC',8.0,35.87,1.0,29.6,0.0
2023-02-02 00:03:00,0,1.0,-14.9333,-154.2,1.0,b'2424583061                      ',b'7KAC',8.0,35.9,1.0,29.7,0.0
2023-02-02 02:03:00,0,1.0,-14.75,-154.5333,1.0,b'2426213756                      ',b'7KAC',8.0,35.9,1.0,29.8,0.0
2023-02-02 04:01:00,0,1.0,-14.5667,-154.8667,1.0,b'2426213757                      ',b'7KAC',8.0,35.89,1.0,29.8,0.0
2023-02-02 06:02:00,0,1.0,-14.3833,-155.2,1.0,b'2426213758                      ',b'7KAC',8.0,35.93,1.0,29.7,0.0
2023-02-02 08:02:00,0,1.0,-14.2,-155.55,1.0,b'2426213759                      ',b'7KAC',8.0,35.92,1.0,29.7,0.0
2023-02-02 10:03:00,0,1.0,-14.0333,-155.9,1.0,b'2426213760                      ',b'7KAC',8.0,35.89,1.0,29.6,0.0
2023-02-02 12:02:00,0,1.0,-13.85,-156.2167,1.0,b'2426213761                      ',b'7KAC',8.0,36.0,1.0,29.4,0.0
2023-02-02 14:03:00,0,1.0,-13.6667,-156.5667,1.0,b'2426213762                      ',b'7KAC',8.0,35.98,1.0,29.5,0.0
2023-02-02 16:02:00,0,1.0,-13.5,-156.9,1.0,b'2426213763                      ',b'7KAC',8.0,35.98,1.0,29.4,0.0
2023-02-02 18:01:00,0,1.0,-13.3333,-157.2333,1.0,b'2426213764                      ',b'7KAC',8.0,35.85,1.0,29.3,0.0
2023-02-02 20:02:00,0,1.0,-13.15,-157.5667,1.0,b'2426213765                      ',b'7KAC',8.0,35.78,1.0,29.3,0.0
2023-02-02 22:00:00,0,1.0,-12.9833,-157.9,1.0,b'2426213766                      ',b'7KAC',8.0,35.77,1.0,29.4,0.0
2023-02-03 00:04:00,0,1.0,-12.8,-158.25,1.0,b'2426213767                      ',b'7KAC',8.0,35.88,1.0,29.6,0.0
2023-02-03 02:03:00,0,1.0,-12.6167,-158.5333,1.0,b'2431765364                      ',b'7KAC',8.0,35.86,1.0,29.7,0.0
2023-02-03 04:02:00,0,1.0,-12.4,-158.9167,1.0,b'2431765365                      ',b'7KAC',8.0,35.85,1.0,29.7,0.0
2023-02-03 06:02:00,0,1.0,-12.2333,-159.2667,1.0,b'2431765366                      ',b'7KAC',8.0,35.75,1.0,29.5,0.0
2023-02-03 08:03:00,0,1.0,-12.0667,-159.6,1.0,b'2431765367                      ',b'7KAC',8.0,35.77,1.0,29.6,0.0
2023-02-03 10:02:00,0,1.0,-11.9167,-159.95,1.0,b'2431765368                      ',b'7KAC',8.0,35.81,1.0,29.5,0.0
2023-02-03 12:02:00,0,1.0,-11.7333,-160.2833,1.0,b'2431765369                      ',b'7KAC',8.0,35.79,1.0,29.6,0.0
2023-02-03 14:02:00,0,1.0,-11.55,-160.6167,1.0,b'2431765370                      ',b'7KAC',8.0,35.79,1.0,29.6,0.0
2023-02-03 16:01:00,0,1.0,-11.3833,-160.9333,1.0,b'2431765371                      ',b'7KAC',8.0,35.82,1.0,29.7,0.0
2023-02-03 18:00:00,0,1.0,-11.2,-161.2667,1.0,b'2431765372                      ',b'7KAC',8.0,35.76,1.0,29.6,0.0
2023-02-03 20:02:00,0,1.0,-11.0333,-161.6,1.0,b'2431765373                      ',b'7KAC',8.0,35.66,1.0,29.6,0.0
2023-02-03 22:02:00,0,1.0,-10.85,-161.9167,1.0,b'2431765374                      ',b'7KAC',8.0,35.74,1.0,29.8,0.0
2023-02-04 00:02:00,0,1.0,-10.6833,-162.25,1.0,b'2431765375                      ',b'7KAC',8.0,35.74,1.0,29.9,0.0
2023-02-04 02:02:00,0,1.0,-10.5,-162.5667,1.0,b'2432030258                      ',b'7KAC',8.0,35.79,1.0,30.1,0.0
2023-02-04 04:03:00,0,1.0,-10.35,-162.9167,1.0,b'2432030259                      ',b'7KAC',8.0,35.83,1.0,30.0,0.0
2023-02-04 06:02:00,0,1.0,-10.1667,-163.2333,1.0,b'2432030260                      ',b'7KAC',8.0,35.8,1.0,29.8,0.0
2023-02-04 08:03:00,0,1.0,-10.0,-163.55,1.0,b'2432030261                      ',b'7KAC',8.0,35.74,1.0,29.8,0.0
2023-02-04 10:03:00,0,1.0,-9.8167,-163.8833,1.0,b'2432030262                      ',b'7KAC',8.0,35.75,1.0,29.7,0.0
2023-02-04 12:03:00,0,1.0,-9.65,-164.2,1.0,b'2432030263                      ',b'7KAC',8.0,35.77,1.0,29.7,0.0
2023-02-04 14:03:00,0,1.0,-9.4667,-164.5333,1.0,b'2432030264                      ',b'7KAC',8.0,35.74,1.0,29.7,0.0
2023-02-04 16:04:00,0,1.0,-9.3,-164.8833,1.0,b'2432030265                      ',b'7KAC',8.0,35.73,1.0,29.7,0.0
2023-02-04 18:02:00,0,1.0,-9.1167,-165.2,1.0,b'2432030266                      ',b'7KAC',8.0,35.76,1.0,29.8,0.0
2023-02-04 20:01:00,0,1.0,-8.95,-165.5167,1.0,b'2432030267                      ',b'7KAC',8.0,35.76,1.0,29.7,0.0
2023-02-04 22:02:00,0,1.0,-8.7667,-165.85,1.0,b'2432030268                      ',b'7KAC',8.0,35.78,1.0,29.8,0.0
2023-02-05 00:02:00,0,1.0,-8.6,-166.1833,1.0,b'2432030269                      ',b'7KAC',8.0,35.77,1.0,29.9,0.0
2023-02-05 04:02:00,0,1.0,-8.2167,-166.9167,1.0,b'2432308126                      ',b'7KAC',8.0,35.8,1.0,30.0,0.0
2023-02-05 06:03:00,0,1.0,-8.0167,-167.2833,1.0,b'2432308127                      ',b'7KAC',8.0,35.67,1.0,29.6,0.0
2023-02-05 08:02:00,0,1.0,-7.85,-167.6167,1.0,b'2432308128                      ',b'7KAC',8.0,35.6,1.0,29.4,0.0
2023-02-05 10:05:00,0,1.0,-7.6667,-167.95,1.0,b'2432308129                      ',b'7KAC',8.0,35.58,1.0,29.2,0.0
2023-02-05 12:02:00,0,1.0,-7.5,-168.2833,1.0,b'2432308130                      ',b'7KAC',8.0,35.57,1.0,29.1,0.0
2023-02-05 14:02:00,0,1.0,-7.3167,-168.6,1.0,b'2432308131                      ',b'7KAC',8.0,35.54,1.0,29.1,0.0
2023-02-05 16:02:00,0,1.0,-7.1333,-168.95,1.0,b'2432308132                      ',b'7KAC',8.0,35.57,1.0,29.1,0.0
2023-02-05 18:05:00,0,1.0,-6.95,-169.3,1.0,b'2432308133                      ',b'7KAC',8.0,35.54,1.0,29.1,0.0
2023-02-05 20:03:00,0,1.0,-6.7667,-169.6333,1.0,b'2432308134                      ',b'7KAC',8.0,35.55,1.0,29.2,0.0
2023-02-05 22:02:00,0,1.0,-6.6,-169.9667,1.0,b'2432308135                      ',b'7KAC',8.0,35.56,1.0,29.3,0.0
2023-02-06 00:01:00,0,1.0,-6.4167,-170.3167,1.0,b'2432308136                      ',b'7KAC',8.0,35.54,1.0,29.3,0.0
2023-02-06 02:05:00,0,1.0,-6.2167,-170.6667,1.0,b'2432553920                      ',b'7KAC',8.0,35.53,1.0,29.3,0.0
2023-02-06 04:04:00,0,1.0,-6.0333,-171.0167,1.0,b'2432553921                      ',b'7KAC',8.0,35.53,1.0,29.3,0.0
2023-02-06 06:03:00,0,1.0,-5.8333,-171.3667,1.0,b'2432553922                      ',b'7KAC',8.0,35.51,1.0,29.1,0.0
2023-02-06 08:02:00,0,1.0,-5.65,-171.7167,1.0,b'2432553923                      ',b'7KAC',8.0,35.49,1.0,29.0,0.0
2023-02-06 10:04:00,0,1.0,-5.4667,-172.0667,1.0,b'2432553924                      ',b'7KAC',8.0,35.42,1.0,28.9,0.0
2023-02-06 12:02:00,0,1.0,-5.2833,-172.4167,1.0,b'2432553925                      ',b'7KAC',8.0,35.47,1.0,28.9,0.0
2023-02-06 14:02:00,0,1.0,-5.1,-172.7667,1.0,b'2432553926                      ',b'7KAC',8.0,35.47,1.0,28.9,0.0
2023-02-06 16:01:00,0,1.0,-4.9,-173.1167,1.0,b'2432553927                      ',b'7KAC',8.0,35.44,1.0,28.9,0.0
2023-02-06 18:03:00,0,1.0,-4.7167,-173.4833,1.0,b'2432553928                      ',b'7KAC',8.0,35.43,1.0,28.8,0.0
2023-02-06 20:03:00,0,1.0,-4.5333,-173.8333,1.0,b'2432553929                      ',b'7KAC',8.0,35.42,1.0,28.9,0.0
