TIME,DEPTH,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,DEPH,PSAL,PSAL_QC,CNDC,CNDC_QC,SSJT,SSJT_QC
2023-02-17 00:01:43,0,1.0,26.87301,-64.66908,1.0,b'2438161939                      ',b'WTEC',5.2,36.8529,1.0,5.42579,1.0,23.8065,1.0
2023-02-17 00:04:43,0,1.0,26.86584,-64.66169,1.0,b'2438161940                      ',b'WTEC',5.2,36.8516,1.0,5.42632,1.0,23.8129,1.0
2023-02-17 00:07:43,0,1.0,26.85865,-64.65422,1.0,b'2438161941                      ',b'WTEC',5.2,36.8501,1.0,5.4262,1.0,23.8135,1.0
2023-02-17 00:10:43,0,1.0,26.85156,-64.64681,1.0,b'2438161942                      ',b'WTEC',5.2,36.8484,1.0,5.42655,1.0,23.8187,1.0
2023-02-17 00:13:43,0,1.0,26.84436,-64.63931,1.0,b'2438161943                      ',b'WTEC',5.2,36.8499,1.0,5.42706,1.0,23.8216,1.0
2023-02-17 00:16:43,0,1.0,26.8371,-64.63191,1.0,b'2438161944                      ',b'WTEC',5.2,36.8549,1.0,5.42788,1.0,23.8232,1.0
2023-02-17 00:19:43,0,1.0,26.82989,-64.62452,1.0,b'2438161945                      ',b'WTEC',5.2,36.8605,1.0,5.42859,1.0,23.823,1.0
2023-02-17 00:22:43,0,1.0,26.82258,-64.61699,1.0,b'2438161946                      ',b'WTEC',5.2,36.8651,1.0,5.42941,1.0,23.8251,1.0
2023-02-17 00:25:43,0,1.0,26.81522,-64.60967,1.0,b'2438161947                      ',b'WTEC',5.2,36.8711,1.0,5.43115,1.0,23.8339,1.0
2023-02-17 00:28:43,0,1.0,26.80783,-64.60213,1.0,b'2438161948                      ',b'WTEC',5.2,36.8784,1.0,5.43223,1.0,23.835,1.0
2023-02-17 00:31:43,0,1.0,26.80049,-64.59451,1.0,b'2438161949                      ',b'WTEC',5.2,36.8771,1.0,5.42804,1.0,23.7979,1.0
