Khu vực,Mưa,Tầm nhìn xa,Gió,Sóng
BẮC VỊNH BẮC BỘ,Có mưa rào và dông vài nơi.,Trên 10km.,Gió nam cấp 4-5.,"Sóng cao 1,0 - 2,0m."
NAM VỊNH BẮC BỘ,Có mưa rào và dông vài nơi.,Trên 10km.,Gió đông nam đến nam cấp 4-5.,"Sóng cao 1,0 - 2,0m."
QUẢNG TRỊ ĐẾN QUẢNG NGÃI,Có mưa rào và dông vài nơi.,Trên 10km.,Gió đông nam đến nam cấp 3-4.,"Sóng cao 0,5 - 1,5m."
BÌNH ĐỊNH ĐẾN NINH THUẬN,Có mưa rào rải rác và có nơi có dông. Trong mưa dông có khả năng xảy ra lốc xoáy và gió giật mạnh.,"Trên 10km, giảm xuống 4-10km trong mưa.",Gió nhẹ.,"Sóng cao 0,5 - 1,5m."
BÌNH THUẬN ĐẾN CÀ MAU,Có mưa rào và dông rải rác. Trong mưa dông có khả năng xảy ra lốc xoáy và gió giật mạnh cấp 6-7.,"Trên 10km, giảm xuống 4-10km trong mưa.",Gió nhẹ.,"Sóng cao 0,5 - 1,5m."
CÀ MAU ĐẾN KIÊN GIANG,Có mưa rào và dông rải rác. Trong mưa dông có khả năng xảy ra lốc xoáy và gió giật mạnh cấp 6-7.,"Trên 10km, giảm xuống 4-10km trong mưa.",Gió nhẹ.,"Sóng cao 0,5 - 1,0m."
BẮC BIỂN ĐÔNG,Có mưa rào và dông vài nơi.,Trên 10km.,Gió đông nam đến nam cấp 3-4.,"Sóng cao 0,5 - 1,5m."
QUẦN ĐẢO HOÀNG SA,Có mưa rào và dông vài nơi.,Trên 10km.,Gió đông nam đến nam cấp 3-4.,"Sóng cao 0,5 - 1,5m."
VÙNG GIỮA BIỂN ĐÔNG,Có mưa rào và dông rải rác. Trong mưa dông có khả năng xảy ra lốc xoáy và gió giật mạnh cấp 6-7.,"Trên 10km, giảm xuống 4-10km trong mưa.",Gió đông nam cấp 3-4.,"Sóng cao 0,5 - 1,5m."
VÙNG NAM BIỂN ĐÔNG,Có mưa rào và dông rải rác. Trong mưa dông có khả năng xảy ra lốc xoáy và gió giật mạnh cấp 6-7.,"Trên 10km, giảm xuống 4-10km trong mưa.",Gió nhẹ.,"Sóng cao 0,5 - 1,5m."
QUẦN ĐẢO TRƯỜNG SA,Có mưa rào và dông rải rác. Trong mưa dông có khả năng xảy ra lốc xoáy và gió giật mạnh cấp 6-7.,"Trên 10km, giảm xuống 4-10km trong mưa.",Gió nhẹ.,"Sóng cao 0,5 - 1,5m."
VỊNH THÁI LAN,Có mưa rào và dông rải rác. Trong mưa dông có khả năng xảy ra lốc xoáy và gió giật mạnh cấp 6-7.,"Trên 10km, giảm xuống 4-10km trong mưa.",Gió nhẹ.,"Sóng cao 0,5 - 1,0m."
