country,unit,year,value,flag
Afghanistan,Tonnes - live weight,2021,11107.0,E
Albania,Tonnes - live weight,2021,8641.0,A
Algeria,Tonnes - live weight,2021,4779.287,A
American Samoa,Tonnes - live weight,2021,15.0,E
Angola,Tonnes - live weight,2021,2808.0,A
Antigua and Barbuda,Tonnes - live weight,2021,20.0,E
Argentina,Tonnes - live weight,2021,3687.0,A
Armenia,Tonnes - live weight,2021,18930.0,E
Aruba,Tonnes - live weight,2021,1.5,E
Australia,Tonnes - live weight,2021,128910.76,A
Austria,Tonnes - live weight,2021,4920.413,A
Azerbaijan,Tonnes - live weight,2021,507.0,A
Bahamas,Tonnes - live weight,2021,1.0,E
Bahrain,Tonnes - live weight,2021,51.0,E
Bangladesh,Tonnes - live weight,2021,2638745.0,A
Barbados,Tonnes - live weight,2021,20.5,E
Belarus,Tonnes - live weight,2021,8504.9,A
Belgium,Tonnes - live weight,2021,223.0,A
Belize,Tonnes - live weight,2021,609.0,E
Benin,Tonnes - live weight,2021,4150.0,E
Bhutan,Tonnes - live weight,2021,193.0,A
Bolivia (Plurinational State of),Tonnes - live weight,2021,18902.0,E
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,2021,0.2,E
Bosnia and Herzegovina,Tonnes - live weight,2021,3858.6,A
Botswana,Tonnes - live weight,2021,163.0,E
Brazil,Tonnes - live weight,2021,650572.25,A
British Virgin Islands,Tonnes - live weight,2021,1.0,E
Brunei Darussalam,Tonnes - live weight,2021,4767.922,A
Bulgaria,Tonnes - live weight,2021,15173.62,A
Burkina Faso,Tonnes - live weight,2021,878.0,A
Burundi,Tonnes - live weight,2021,540.0,E
Cabo Verde,Tonnes - live weight,2021,28.0,A
Cambodia,Tonnes - live weight,2021,348350.0,E
Cameroon,Tonnes - live weight,2021,9808.0,E
Canada,Tonnes - live weight,2021,190232.0,A
Cayman Islands,Tonnes - live weight,2021,85.0,E
Central African Republic,Tonnes - live weight,2021,210.0,E
Chad,Tonnes - live weight,2021,110.0,E
Channel Islands,Tonnes - live weight,2021,1145.0,E
Chile,Tonnes - live weight,2021,1443520.0,A
China,Tonnes - live weight,2021,7.2805296E7,A
"China, Hong Kong SAR",Tonnes - live weight,2021,4008.87,A
Colombia,Tonnes - live weight,2021,192521.0,A
Congo,Tonnes - live weight,2021,911.0,A
Cook Islands,Tonnes - live weight,2021,8.5,E
Costa Rica,Tonnes - live weight,2021,17309.4,A
Côte d'Ivoire,Tonnes - live weight,2021,5720.0,E
Croatia,Tonnes - live weight,2021,27010.33,A
Cuba,Tonnes - live weight,2021,22664.6,A
Cyprus,Tonnes - live weight,2021,7862.26,A
Czechia,Tonnes - live weight,2021,20991.0,A
Democratic People's Republic of Korea,Tonnes - live weight,2021,680560.0,E
Democratic Republic of the Congo,Tonnes - live weight,2021,5095.0,E
Denmark,Tonnes - live weight,2021,40594.2,A
Dominica,Tonnes - live weight,2021,1.5,E
Dominican Republic,Tonnes - live weight,2021,3750.0,E
Ecuador,Tonnes - live weight,2021,904136.3,A
Egypt,Tonnes - live weight,2021,1576189.4,A
El Salvador,Tonnes - live weight,2021,12748.852,A
Equatorial Guinea,Tonnes - live weight,2021,15.0,E
Eritrea,Tonnes - live weight,2021,4.0,E
Estonia,Tonnes - live weight,2021,849.46,A
Eswatini,Tonnes - live weight,2021,100.0,E
Ethiopia,Tonnes - live weight,2021,740.0,A
Falkland Islands (Malvinas),Tonnes - live weight,2021,0.0,A
Faroe Islands,Tonnes - live weight,2021,115760.0,E
Fiji,Tonnes - live weight,2021,206.1,A
Finland,Tonnes - live weight,2021,14399.4,A
France,Tonnes - live weight,2021,193332.17,A
French Guiana,Tonnes - live weight,2021,3.0,E
French Polynesia,Tonnes - live weight,2021,1557.675,A
Gabon,Tonnes - live weight,2021,72.0,E
Gambia,Tonnes - live weight,2021,35.0,E
Georgia,Tonnes - live weight,2021,2790.4,A
Germany,Tonnes - live weight,2021,32649.0,A
Ghana,Tonnes - live weight,2021,89380.0,E
Greece,Tonnes - live weight,2021,143925.56,A
Grenada,Tonnes - live weight,2021,22.5,E
Guadeloupe,Tonnes - live weight,2021,50.0,E
Guam,Tonnes - live weight,2021,105.0,E
Guatemala,Tonnes - live weight,2021,32583.45,A
Guinea,Tonnes - live weight,2021,1150.0,E
Guinea-Bissau,Tonnes - live weight,2021,15.0,E
Guyana,Tonnes - live weight,2021,141.73,A
Haiti,Tonnes - live weight,2021,1610.0,E
Honduras,Tonnes - live weight,2021,63267.8,E
Hungary,Tonnes - live weight,2021,17846.74,A
Iceland,Tonnes - live weight,2021,53154.0,A
India,Tonnes - live weight,2021,9408300.0,E
Indonesia,Tonnes - live weight,2021,1.4493523E7,A
Iran (Islamic Republic of),Tonnes - live weight,2021,478737.0,A
Iraq,Tonnes - live weight,2021,22694.0,A
