TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-01 21:00:00,1.0,48.6,-123.5,1.0,b'3386645024                      ',b'2azy7hu',12.9,1.0
2025-04-01 22:00:00,1.0,48.6,-123.5,1.0,b'3386645025                      ',b'2azy7hu',13.0,1.0
2025-04-02 00:00:00,1.0,48.7,-123.3,1.0,b'3386895663                      ',b'2azy7hu',13.1,1.0
2025-04-02 01:00:00,1.0,48.6,-123.2,1.0,b'3386895664                      ',b'2azy7hu',12.7,1.0
2025-04-02 02:00:00,1.0,48.4,-123.2,1.0,b'3386895665                      ',b'2azy7hu',12.6,1.0
2025-04-02 03:00:00,1.0,48.3,-123.3,1.0,b'3386895666                      ',b'2azy7hu',12.5,1.0
2025-04-02 04:00:00,1.0,48.2,-123.5,1.0,b'3386895667                      ',b'2azy7hu',12.4,1.0
2025-04-02 05:00:00,1.0,48.2,-123.7,1.0,b'3386895668                      ',b'2azy7hu',12.4,1.0
2025-04-02 06:00:00,1.0,48.3,-124.0,1.0,b'3386895669                      ',b'2azy7hu',12.4,1.0
2025-04-02 07:00:00,1.0,48.4,-124.3,1.0,b'3386940422                      ',b'2azy7hu',12.5,1.0
2025-04-02 08:00:00,1.0,48.4,-124.5,1.0,b'3386940423                      ',b'2azy7hu',12.5,1.0
2025-04-02 09:00:00,1.0,48.5,-124.8,1.0,b'3386940424                      ',b'2azy7hu',12.6,1.0
2025-04-02 10:00:00,1.0,48.6,-125.0,1.0,b'3386940425                      ',b'2azy7hu',12.7,1.0
2025-04-02 11:00:00,1.0,48.6,-125.2,1.0,b'3387055925                      ',b'2azy7hu',12.6,1.0
2025-04-02 12:00:00,1.0,48.7,-125.4,1.0,b'3387055926                      ',b'2azy7hu',12.6,1.0
2025-04-02 13:00:00,1.0,48.8,-125.6,1.0,b'3387055927                      ',b'2azy7hu',12.6,1.0
2025-04-02 14:00:00,1.0,48.9,-125.7,1.0,b'3387055928                      ',b'2azy7hu',12.6,1.0
2025-04-02 15:00:00,1.0,49.0,-126.0,1.0,b'3387088880                      ',b'2azy7hu',12.6,1.0
2025-04-02 16:00:00,1.0,49.1,-126.2,1.0,b'3387088881                      ',b'2azy7hu',12.6,1.0
2025-04-02 17:00:00,1.0,49.2,-126.4,1.0,b'3387088882                      ',b'2azy7hu',12.5,1.0
2025-04-02 18:00:00,1.0,49.3,-126.6,1.0,b'3387088883                      ',b'2azy7hu',12.5,1.0
2025-04-02 19:00:00,1.0,49.5,-126.8,1.0,b'3387115971                      ',b'2azy7hu',12.5,1.0
2025-04-02 20:00:00,1.0,49.6,-127.0,1.0,b'3387115972                      ',b'2azy7hu',12.5,1.0
2025-04-02 21:00:00,1.0,49.8,-127.1,1.0,b'3387115973                      ',b'2azy7hu',12.6,1.0
2025-04-02 22:00:00,1.0,49.9,-127.2,1.0,b'3387115974                      ',b'2azy7hu',12.6,1.0
2025-04-03 16:00:00,1.0,49.9,-127.3,1.0,b'3387479211                      ',b'2azy7hu',12.5,1.0
2025-04-03 17:00:00,1.0,49.9,-127.6,1.0,b'3387479212                      ',b'2azy7hu',12.4,1.0
2025-04-03 18:00:00,1.0,50.0,-127.9,1.0,b'3387479213                      ',b'2azy7hu',12.5,1.0
2025-04-03 19:00:00,1.0,50.2,-128.0,1.0,b'3387507201                      ',b'2azy7hu',12.5,1.0
2025-04-03 20:00:00,1.0,50.3,-128.2,1.0,b'3387507202                      ',b'2azy7hu',12.5,1.0
2025-04-03 21:00:00,1.0,50.5,-128.3,1.0,b'3387507203                      ',b'2azy7hu',12.5,1.0
2025-04-03 22:00:00,1.0,50.7,-128.4,1.0,b'3387507204                      ',b'2azy7hu',12.5,1.0
