TIME,TIME_QC,LATITUDE,LONGITUDE,POSITION_QC,DC_REFERENCE,TRAJECTORY,TEMP,TEMP_QC
2025-04-01 06:00:00,1.0,-4.5,84.3,1.0,b'3386505643                      ',b'3e3537',29.0,1.0
2025-04-01 18:00:00,1.0,-1.8,87.0,1.0,b'3386618469                      ',b'3e3537',29.0,1.0
2025-04-02 02:00:00,1.0,-0.1,88.7,1.0,b'3386895528                      ',b'3e3537',29.0,1.0
2025-04-02 09:00:00,1.0,0.1,89.0,1.0,b'3386940373                      ',b'3e3537',30.0,1.0
2025-04-03 01:00:00,1.0,3.0,91.7,1.0,b'3387297881                      ',b'3e3537',30.0,1.0
2025-04-03 05:00:00,1.0,3.7,92.4,1.0,b'3387297882                      ',b'3e3537',30.0,1.0
2025-04-03 09:00:00,1.0,4.3,93.1,1.0,b'3387343248                      ',b'3e3537',31.0,1.0
2025-04-03 13:00:00,1.0,5.0,93.7,1.0,b'3387442530                      ',b'3e3537',30.0,1.0
2025-04-04 05:00:00,1.0,5.7,96.7,1.0,b'3387699306                      ',b'3e3537',30.0,1.0
2025-04-04 08:00:00,1.0,5.6,97.3,1.0,b'3387741172                      ',b'3e3537',30.0,1.0
2025-04-04 12:00:00,1.0,5.3,98.1,1.0,b'3387822872                      ',b'3e3537',30.0,1.0
2025-04-04 16:00:00,1.0,4.8,98.7,1.0,b'3387860820                      ',b'3e3537',30.0,1.0
2025-04-05 16:00:00,1.0,1.7,102.5,1.0,b'3388376424                      ',b'3e3537',30.0,1.0
2025-04-07 16:00:00,1.0,5.2,106.4,1.0,b'3389316528                      ',b'3e3537',28.0,1.0
2025-04-08 00:00:00,1.0,6.8,107.5,1.0,b'3389510297                      ',b'3e3537',27.0,1.0
2025-04-08 04:00:00,1.0,7.6,108.0,1.0,b'3389510298                      ',b'3e3537',26.0,1.0
2025-04-08 12:00:00,1.0,9.2,109.0,1.0,b'3389641352                      ',b'3e3537',27.0,1.0
2025-04-09 00:00:00,1.0,11.9,110.8,1.0,b'3389885066                      ',b'3e3537',27.0,1.0
2025-04-09 12:00:00,1.0,14.5,112.5,1.0,b'3390010549                      ',b'3e3537',28.0,1.0
2025-04-10 00:00:00,1.0,16.8,114.3,1.0,b'3390194820                      ',b'3e3537',27.0,1.0
2025-04-10 12:00:00,1.0,19.4,116.6,1.0,b'3390352852                      ',b'3e3537',25.0,1.0
2025-04-10 16:00:00,1.0,20.2,117.2,1.0,b'3390391668                      ',b'3e3537',25.0,1.0
2025-04-13 00:00:00,1.0,25.4,124.2,1.0,b'3391762251                      ',b'3e3537',25.0,1.0
2025-04-14 00:00:00,1.0,27.3,129.5,1.0,b'3392107778                      ',b'3e3537',22.0,1.0
2025-04-15 03:00:00,1.0,28.2,130.9,1.0,b'3392686196                      ',b'3e3537',21.0,1.0
2025-04-16 03:00:00,1.0,31.7,135.9,1.0,b'3393106608                      ',b'3e3537',21.0,1.0
2025-04-22 15:00:00,1.0,34.4,139.0,1.0,b'3395665352                      ',b'3e3537',19.0,1.0
